Name	Loop Parent / Segment Type	Segment Description	Repeats	Qualifiers	Segment Required	Required Fields	Unused Fields	Syntax Rules
00ISA		Control Header	>1					
	ISA	Interchange Control Header	>1	"00,03"	Y	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"		
	IEA	Interchange Control Trailer	>1		Y	"1,2"		
01GE		Functional Group	>1					
	GS	Functional Group Header	>1	X	Y	"1,2,3,4,5,6,7,8"		
	GE	Functional Group Trailer	>1		Y	"1,2"		
		Transaction Set Header	0					
	ST		1	277	Y	"1,2,3"		
	Table		0	10	N	"1,2,3,4,5,6"		
2000A		INFORMATION SOURCE LEVEL	>1					
	HL	Information Source Level	1	20	Y	"1,3,4"	2	
2100A	2000A	PAYER NAME	1					
	NM1	Payer Name	1	PR	Y	"1,2,3,8,9"	"4,5,6,7,10,11,12"	"P0809,C1110,C1203"
	PER	Payer Contact Information	1	IC	N	"1,3,4"	9	"P0304,P0506,P0708"
2000B	2000A	INFORMATION RECEIVER LEVEL	>1					
	HL	Information Receiver Level	1	21	Y	"1,2,3,4"		
2100B	2000B	INFORMATION RECEIVER NAME	1					
	NM1	Information Receiver Name	1	41	Y	"1,2,8,9"	"6,7,10,11,12"	"P0809,C1110,C1203"
2200B	2000B	INFORMATION RECEIVER TRACE IDENTIFIER	1					
	TRN	Information Receiver Trace Identifier	1	2	N	"1,2"	"3,4"	
	STC	Information Receiver Status Information	0	"41 ,AY ,PR"	Y	"1,2,3,6,15,16,20,21"	"5,7,8,9,10,11,12,13,18,23,24"	
2000C		SERVICE PROVIDER LEVEL	>1					
	HL	Service Provider Level	1	19	N	"1,2,3,4"		
2100C	2000C	PROVIDER NAME	2					
	NM1	Provider Name	1	1P	Y	"1,2,8,9"	"6,10,11,12"	"P0809,C1110,C1203"
2200C	2000C	PROVIDER OF SERVICE TRACE IDENTIFIER	1					
	TRN	Provider of Service Trace Identifier	1	1	N	"1,2"	"3,4"	
